"","title","category","file_name"
"1","Northern Lights","sci-fi","26905.txt"
"3","Dracula","sci-fi","45839.txt"
"4","Dracula","sci-fi","345.txt"
"5","The Road","sci-fi","14658.txt"
"6","The Martian","sci-fi","27400.txt"
"7","The Martian","sci-fi","40992.txt"
"8","The Time Machine","sci-fi","35.txt"
"9","Timeline","sci-fi","25738.txt"
"10","Christine","sci-fi","32085.txt"
"11","Christine","sci-fi","12683.txt"
"12","The Circle","sci-fi","42395.txt"
"13","Anthem","sci-fi","1250.txt"
"14","The Dark Tower","sci-fi","25829.txt"
"15","The Lost World","sci-fi","139.txt"
"16","The Goose Girl","sci-fi","14598.txt"
"17","The Invisible Man","sci-fi","5230.txt"
"18","The Awakening","sci-fi","50834.txt"
"19","The Awakening","sci-fi","17352.txt"
"24","Cosmos","sci-fi","49631.txt"
"25","The Talisman","sci-fi","44031.txt"
"26","The Talisman","sci-fi","1377.txt"
"27","The Talisman","sci-fi","12458.txt"
"28","The Reckoning","sci-fi","19931.txt"
"29","The Reckoning","sci-fi","25441.txt"
"30","Winter","sci-fi","45390.txt"
"31","Winter","sci-fi","42199.txt"
"32","Forever","sci-fi","29487.txt"
"33","Leviathan","sci-fi","3207.txt"
"35","Morning Star","sci-fi","2722.txt"
"36","Wake","sci-fi","33374.txt"
"37","Dust","sci-fi","945.txt"
"39","Skin Game","sci-fi","31665.txt"
"40","Swan Song","sci-fi","1753.txt"
"41","The Prince","sci-fi","1232.txt"
"42","A Princess of Mars","sci-fi","62.txt"
"43","Plague","sci-fi","43942.txt"
"44","Making Money","sci-fi","33761.txt"
"45","Eric","sci-fi","26952.txt"
"46","Eric","sci-fi","12083.txt"
"47","Bluebeard","sci-fi","3494.txt"
"48","Bluebeard","sci-fi","37464.txt"
"49","Endymion","sci-fi","24280.txt"
"50","Endymion","sci-fi","7926.txt"
"51","Quicksilver","sci-fi","21363.txt"
"52","The Heroes","sci-fi","677.txt"
"53","Whispers","sci-fi","30101.txt"
"54","Tarzan of the Apes","sci-fi","78.txt"
"55","Nevermore","sci-fi","34240.txt"
"57","Outpost","sci-fi","4676.txt"
"58","Light","sci-fi","12904.txt"
"59","The Ruins","sci-fi","1397.txt"
"60","The Terror","sci-fi","35617.txt"
"61","Nightfall","sci-fi","14489.txt"
"62","The Princess and the Goblin","sci-fi","34339.txt"
"63","The Princess and the Goblin","sci-fi","708.txt"
"64","Midnight","sci-fi","11043.txt"
"66","Enchantment","sci-fi","55162.txt"
"67","The Monkey's Paw","sci-fi","12122.txt"
"68","Revolution","sci-fi","23929.txt"
"69","Broken Homes","sci-fi","15420.txt"
"70","California","sci-fi","13001.txt"
"71","California","sci-fi","44764.txt"
"72","Aftermath","sci-fi","13554.txt"
"73","Pathfinder","sci-fi","22924.txt"
"74","The Outcasts","sci-fi","19387.txt"
"75","White Fire","sci-fi","38061.txt"
"76","White Fire","sci-fi","41719.txt"
"77","Rosemary and Rue","sci-fi","36168.txt"
"78","Dawn","sci-fi","5874.txt"
"79","Dawn","sci-fi","10892.txt"
"80","Dawn","sci-fi","4794.txt"
"84","The Mask","sci-fi","20131.txt"
"85","The Long Patrol","sci-fi","45245.txt"
"86","Ozma of Oz","sci-fi","486.txt"
"87","Ozma of Oz","sci-fi","33361.txt"
"88","The Invaders","sci-fi","23535.txt"
"89","The Invaders","sci-fi","31343.txt"
"90","The Gods of Mars","sci-fi","29405.txt"
"91","The Gods of Mars","sci-fi","64.txt"
"92","The Flood","sci-fi","7011.txt"
"93","The Flood","sci-fi","11268.txt"
"94","The King in Yellow","sci-fi","8492.txt"
"95","The Underworld","sci-fi","15503.txt"
"96","Lost","sci-fi","22712.txt"
"97","The Secret Garden","fantasy","17396.txt"
"98","The Secret Garden","fantasy","113.txt"
"99","The Picture of Dorian Gray","fantasy","4078.txt"
"100","The Picture of Dorian Gray","fantasy","174.txt"
"101","The Picture of Dorian Gray","fantasy","26740.txt"
"102","A Christmas Carol","fantasy","30368.txt"
"103","A Christmas Carol","fantasy","24022.txt"
"104","A Christmas Carol","fantasy","46.txt"
"105","A Christmas Carol","fantasy","19337.txt"
"106","A Christmas Carol","fantasy","41739.txt"
"107","Alice's Adventures in Wonderland","fantasy","28885.txt"
"108","Alice's Adventures in Wonderland","fantasy","11.txt"
"109","Treasure Island","fantasy","120.txt"
"110","Treasure Island","fantasy","27780.txt"
"111","The Wonderful Wizard of Oz","fantasy","43936.txt"
"112","The Wonderful Wizard of Oz","fantasy","55.txt"
"113","The Call of the Wild","fantasy","215.txt"
"114","Black Beauty","fantasy","271.txt"
"115","Peter Pan","fantasy","16.txt"
"116","Beowulf","fantasy","9700.txt"
"117","Beowulf","fantasy","16328.txt"
"118","Beowulf","fantasy","981.txt"
"119","Beowulf","fantasy","34117.txt"
"120","A Little Princess","fantasy","37332.txt"
"121","A Little Princess","fantasy","146.txt"
"122","The Velveteen Rabbit","fantasy","11757.txt"
"123","Candide","fantasy","19942.txt"
"124","The Tale of Peter Rabbit","fantasy","14838.txt"
"125","Notre-Dame de Paris","fantasy","2610.txt"
"126","The Tempest","fantasy","23042.txt"
"127","The Wind in the Willows","fantasy","27805.txt"
"128","The Wind in the Willows","fantasy","289.txt"
"129","White Fang","fantasy","910.txt"
"130","Paradise Lost","fantasy","26.txt"
"131","Paradise Lost","fantasy","20.txt"
"132","The Messenger","fantasy","35671.txt"
"134","The Last Straw","fantasy","30746.txt"
"135","The Last Straw","fantasy","36523.txt"
"136","The Jungle Book","fantasy","236.txt"
"137","The Underground Railroad","fantasy","15263.txt"
"138","The Gift of the Magi","fantasy","7256.txt"
"139","Ivanhoe","fantasy","82.txt"
"140","Carry On","fantasy","14086.txt"
"141","The Raven","fantasy","17192.txt"
"142","The Raven","fantasy","45484.txt"
"143","The Raven","fantasy","1065.txt"
"144","Hannibal","fantasy","27551.txt"
"145","The Turn of the Screw","fantasy","209.txt"
"146","The Merry Adventures of Robin Hood","fantasy","964.txt"
"147","The Merry Adventures of Robin Hood","fantasy","10148.txt"
"148","The Cask of Amontillado","fantasy","1063.txt"
"149","The Legend of Sleepy Hollow","fantasy","41.txt"
"151","The Rime of the Ancient Mariner","fantasy","151.txt"
"152","King Solomon's Mines","fantasy","2166.txt"
"153","The Railway Children","fantasy","1874.txt"
"154","The Real Mother Goose","fantasy","10607.txt"
"155","The Woman in Black","fantasy","21854.txt"
"156","Between the Lines","fantasy","25076.txt"
"157","Between the Lines","fantasy","24541.txt"
"160","The Canterville Ghost","fantasy","14522.txt"
"161","The Red Badge of Courage","fantasy","463.txt"
"162","The Red Badge of Courage","fantasy","73.txt"
"165","The House of the Seven Gables","fantasy","77.txt"
"166","Illusions","fantasy","17815.txt"
"167","Carmilla","fantasy","10007.txt"
"168","Beauty and the Beast","fantasy","19967.txt"
"169","Beauty and the Beast","fantasy","43484.txt"
"170","Beauty and the Beast","fantasy","23311.txt"
"171","Beauty and the Beast","fantasy","7074.txt"
"172","The Masque of the Red Death","fantasy","1064.txt"
"173","The Winter's Tale","fantasy","1539.txt"
"174","The Black Cat","fantasy","17218.txt"
"175","The Hammer of Thor","fantasy","29202.txt"
"176","The Lost Prince","fantasy","384.txt"
"177","The Prisoner of Zenda","fantasy","95.txt"
"178","Red Riding Hood","fantasy","31868.txt"
"179","Afterwards","fantasy","21867.txt"
"180","Afterwards","fantasy","43192.txt"
"181","The Ice Queen","fantasy","39210.txt"
"182","Amazing Grace","fantasy","41581.txt"
"183","The Tale of Mrs. Tiggy-Winkle","fantasy","12103.txt"
"184","The Tale of Mrs. Tiggy-Winkle","fantasy","15137.txt"
"185","Belinda","fantasy","6992.txt"
"186","Cinderella","fantasy","23303.txt"
"187","Cinderella","fantasy","10830.txt"
"188","Cinderella","fantasy","16310.txt"
"189","The Adventures of Huckleberry Finn","adventure","32325.txt"
"190","Heart of Darkness","adventure","219.txt"
"191","Heart of Darkness","adventure","526.txt"
"194","Oliver Twist","adventure","730.txt"
"195","The Adventures of Sherlock Holmes","adventure","1661.txt"
"196","David Copperfield","adventure","766.txt"
"197","The Hound of the Baskervilles","adventure","3070.txt"
"198","The Hound of the Baskervilles","adventure","2852.txt"
"199","Heidi","adventure","46409.txt"
"200","Heidi","adventure","20781.txt"
"201","Heidi","adventure","1448.txt"
"202","The Scarlet Pimpernel","adventure","60.txt"
"203","The Brethren","adventure","2762.txt"
"204","Hide and Seek","adventure","7893.txt"
"205","Cyrano de Bergerac","adventure","41949.txt"
"206","Cyrano de Bergerac","adventure","1254.txt"
"207","Pollyanna","adventure","1450.txt"
"208","North and South","adventure","4276.txt"
"210","The Moonstone","adventure","155.txt"
"211","Kidnapped","adventure","421.txt"
"212","The Right Stuff","adventure","20904.txt"
"213","The Collectors","adventure","13114.txt"
"214","The Black Box","adventure","53641.txt"
"215","The Black Box","adventure","17197.txt"
"216","The Return of Sherlock Holmes","adventure","221.txt"
"217","The Return of Sherlock Holmes","adventure","108.txt"
"218","Sister Carrie","adventure","5267.txt"
"219","Sister Carrie","adventure","233.txt"
"220","Chains","adventure","46240.txt"
"221","Ben-Hur: A Tale of the Christ","adventure","2145.txt"
"222","The Last Man","adventure","18247.txt"
"223","Rebecca of Sunnybrook Farm","adventure","498.txt"
"224","The History of Tom Jones, a Foundling","adventure","6593.txt"
"225","Kim","adventure","35555.txt"
"226","Kim","adventure","2226.txt"
"227","A Matter of Honor","adventure","25741.txt"
"228","Lord Jim","adventure","5658.txt"
"229","Rainbow Valley","adventure","5343.txt"
"231","The Lifeboat","adventure","21744.txt"
"232","The Valley of Fear","adventure","3289.txt"
"233","The Valley of Fear","adventure","3776.txt"
"234","The Teeth of the Tiger","adventure","13058.txt"
"235","True Blue","adventure","21481.txt"
"236","The Art of Travel","adventure","14681.txt"
"237","The English Spy","adventure","20001.txt"
"238","Martin Eden","adventure","1056.txt"
"239","No Man's Land","adventure","23874.txt"
"240","Texas","adventure","7355.txt"
"241","Paths of Glory","adventure","10798.txt"
"242","The Survivor","adventure","17040.txt"
"243","The Reef","adventure","283.txt"
"244","Two Years Before the Mast","adventure","2055.txt"
"245","Two Years Before the Mast","adventure","4277.txt"
"246","The Good Girl","crime","45478.txt"
"247","The Woman in White","crime","583.txt"
"248","Sybil","crime","3760.txt"
"249","The Summons","crime","16381.txt"
"250","The Confession","crime","1963.txt"
"251","The Witness","crime","16502.txt"
"252","The Stranger","crime","20217.txt"
"253","The Widow","crime","32152.txt"
"254","Mary, Mary","crime","24742.txt"
"255","The Search","crime","25866.txt"
"257","Cause of Death","crime","51137.txt"
"258","The Collector","crime","43929.txt"
"260","Consequences","crime","34935.txt"
"261","Canada","crime","22557.txt"
"262","The Keepsake","crime","23457.txt"
"263","Genesis","crime","18105.txt"
"264","High Noon","crime","21540.txt"
"265","Lady Luck","crime","26165.txt"
"266","Birds of a Feather","crime","51361.txt"
"267","The Girl Next Door","crime","39896.txt"
"268","The Passenger","crime","30500.txt"
"269","Birthright","crime","10621.txt"
"270","The Moving Finger","crime","30811.txt"
"271","The Moving Finger","crime","21335.txt"
"272","Sanctuary","crime","7517.txt"
"273","Innocent","crime","5165.txt"
"274","Emma","humor","158.txt"
"275","The Importance of Being Earnest","humor","844.txt"
"276","Northanger Abbey","humor","121.txt"
"277","Much Ado About Nothing","humor","1118.txt"
"278","Cabin Fever","humor","1204.txt"
"279","Pygmalion","humor","3825.txt"
"280","As You Like It","humor","1121.txt"
"281","The Bride","humor","8189.txt"
"282","A Modest Proposal","humor","1080.txt"
"283","An Ideal Husband","humor","885.txt"
"284","My Man Jeeves","humor","8164.txt"
"285","Sisters","humor","42840.txt"
"286","Sisters","humor","4218.txt"
"287","Sisters","humor","4947.txt"
"291","The Game","humor","1160.txt"
"292","The Best Man","humor","45528.txt"
"293","Right Ho, Jeeves","humor","10554.txt"
"294","Money","humor","41994.txt"
"295","Money","humor","39003.txt"
"296","Lady Susan","humor","946.txt"
"297","Babbitt","humor","1156.txt"
"298","Measure for Measure","humor","23045.txt"
"299","The Life and Opinions of Tristram Shandy, Gentleman","humor","1079.txt"
"300","Overruled","humor","3830.txt"
"301","Pride and Prejudice","drama","1342.txt"
"302","Pride and Prejudice","drama","42671.txt"
"303","Little Women","drama","514.txt"
"304","Little Women","drama","37106.txt"
"305","Jane Eyre","drama","1260.txt"
"306","Wuthering Heights","drama","768.txt"
"307","Sense and Sensibility","drama","21839.txt"
"308","Sense and Sensibility","drama","161.txt"
"309","A Tale of Two Cities","drama","98.txt"
"310","The Scarlet Letter","drama","33.txt"
"311","The Scarlet Letter","drama","25344.txt"
"312","Great Expectations","drama","1400.txt"
"313","Persuasion","drama","105.txt"
"314","One Day","drama","13776.txt"
"315","Mansfield Park","drama","141.txt"
"316","The Rescue","drama","1712.txt"
"317","The Rescue","drama","42194.txt"
"318","Madame Bovary","drama","2413.txt"
"319","Madame Bovary","drama","27575.txt"
"320","Freedom","drama","30338.txt"
"321","The Choice","drama","24348.txt"
"322","The Age of Innocence","drama","541.txt"
"323","Far from the Madding Crowd","drama","27.txt"
"324","Far from the Madding Crowd","drama","107.txt"
"325","Bleak House","drama","1023.txt"
"326","Twelve Years a Slave","drama","45631.txt"
"327","Ethan Frome","drama","4517.txt"
"328","Sonnets","drama","11266.txt"
"329","Sonnets","drama","10314.txt"
"330","The Tenant of Wildfell Hall","drama","969.txt"
"331","Howards End","drama","2946.txt"
"332","Jude the Obscure","drama","153.txt"
"333","Love Story","drama","32078.txt"
"334","Villette","drama","9182.txt"
"335","The Mayor of Casterbridge","drama","143.txt"
"336","The Sins of the Father","drama","36666.txt"
"337","Of Human Bondage","drama","351.txt"
"338","The Mill on the Floss","drama","6688.txt"
"339","Little Dorrit","drama","963.txt"
"340","Agnes Grey","drama","767.txt"
"341","Chain Reaction","drama","51255.txt"
"342","Rich Man, Poor Man","drama","46945.txt"
"343","The Wonder","drama","27188.txt"
"344","Hedda Gabler","drama","4093.txt"
"345","The Return of the Native","drama","17500.txt"
"346","The Castaways","drama","21238.txt"
"347","The Castaways","drama","23491.txt"
"348","The Power and the Glory","drama","10068.txt"
"349","Rilla of Ingleside","drama","3796.txt"
"350","The Scarlet Feather","drama","28123.txt"
"351","Regeneration","drama","13434.txt"
"352","Regeneration","drama","19964.txt"
"353","The Sea","drama","42845.txt"
"354","Adam Bede","drama","507.txt"
"355","Daisy Miller","drama","208.txt"
"356","The Rainbow","drama","28948.txt"
"357","Home Again","drama","8924.txt"
"358","Sugar and Spice","drama","10839.txt"
"359","Paris","drama","9169.txt"
"360","Paris","drama","32888.txt"
"361","The Garden of Eden","drama","33066.txt"
"362","Rose in Bloom","drama","41127.txt"
"363","Rose in Bloom","drama","2804.txt"
"364","Eventide","drama","20185.txt"
"365","The Moon and Sixpence","drama","222.txt"
"366","The Professor","drama","1028.txt"
"367","The Woodlanders","drama","482.txt"
"368","Gold","drama","30826.txt"
"369","Coming Home","drama","24349.txt"
"370","The Plum Tree","drama","20449.txt"
"371","Selected Poems","drama","13322.txt"
"372","Selected Poems","drama","48306.txt"
"373","Selected Poems","drama","38407.txt"
"377","Fugitive Pieces","drama","15368.txt"
"378","The Promise","drama","23730.txt"
"379","The Old Curiosity Shop","drama","700.txt"
"380","The Wave","drama","33876.txt"
"381","Big Brother","drama","18496.txt"
"382","Possession","myster","28232.txt"
"383","Main Street","satire","9236.txt"
"384","Main Street","satire","543.txt"
"385","Anne of Green Gables","romance","45.txt"
"386","Middlemarch","romance","145.txt"
"387","The Portrait of a Lady","romance","2834.txt"
"388","The Portrait of a Lady","romance","2833.txt"
"389","This Side of Paradise","romance","805.txt"
"390","Sons and Lovers","romance","217.txt"
"391","Wives and Daughters","romance","4274.txt"
"392","O Pioneers!","romance","24.txt"
"393","Eight Cousins","romance","2726.txt"
"394","Eight Cousins","romance","38567.txt"
"395","Runaway","romance","29897.txt"
"396","The Good Soldier","romance","2775.txt"
"397","The Awakening and Selected Short Stories","romance","160.txt"
"398","Palestine","travel","43588.txt"
"399","The Story of My Life","children","12326.txt"
"400","The Story of My Life","children","24586.txt"
"401","A Child's Garden of Verses","children","28722.txt"
"402","A Child's Garden of Verses","children","25617.txt"
"403","A Child's Garden of Verses","children","25610.txt"
"404","A Child's Garden of Verses","children","25608.txt"
"405","A Child's Garden of Verses","children","25609.txt"
"406","A Child's Garden of Verses","children","25611.txt"
"407","A Child's Garden of Verses","children","19722.txt"
"408","A Child's Garden of Verses","children","136.txt"
"409","Little Lord Fauntleroy","children","479.txt"
"410","Siddhartha","religion","2500.txt"
"411","Leaves of Grass","religion","1322.txt"
"412","The Practice of the Presence of God","religion","5657.txt"
"413","Politics","religion","6762.txt"
"414","On Liberty","religion","34901.txt"
"415","Common Sense","religion","3755.txt"
"416","Common Sense","religion","13072.txt"
"417","In His Steps","religion","4540.txt"
"418","Orthodoxy","religion","130.txt"
"419","Orthodoxy","religion","16769.txt"
"420","The Heart of a Woman","religion","32730.txt"
"421","Utilitarianism","religion","11224.txt"
"422","Collected Poems","religion","30599.txt"
"423","Collected Poems","religion","30501.txt"
"424","Collected Poems","religion","24334.txt"
"425","Second Treatise of Government","religion","7370.txt"
"426","The Jungle","history","140.txt"
"427","Alexander Hamilton","history","40591.txt"
"428","My Life","history","40078.txt"
"429","Lincoln","history","1713.txt"
"430","The Souls of Black Folk","history","408.txt"
"431","The Johnstown Flood","history","46948.txt"
